Ru	ruthenium
Re	rhenium
Ra	radium
Rb	rubidium
Rn	radon
Rh	rhodium
Be	beryllium
Ba	barium,
Bi	bismuth
Br	bromine
H	hydrogen
P	phosphorus
Os	osmium
Ge	germanium
Gd	gadolinium
Ga	gallium
Pr	praesodymium
Pt	platinum
C	carbon
Pb	lead
Pa	protactinium
Pd	palladium
Cd	cadmium
Po	polonium
Pm	promethium
Ho	holmium
Hf	hafnium
Hg	mercury
He	helium
Mg	magnesium
K	potassium
Mn	manganese
O	oxygen
S	sulphur
W	tungsten
Zn	zinc
Eu	europium
Zr	zirconium
Er	erbium
Ni	nickel
Na	sodium
Nb	niobium
Nd	neodymium
Ne	neon
Fr	francium
Fe	iron
B	boron
F	fluorine
Sr	strontium
N	nitrogen
Kr	krypton
Si	silicon
Sn	tin
Sm	samarium
V	vanadium
Sc	scandium
Sb	antimony
Se	selenium
Co	cobalt
Cl	chlorine
Ca	calcium
Ce	cerium
Xe	xenon
Tm	thulium
Cs	caesium
Cr	chromium
Cu	copper
La	lanthanum
Li	lithium
Tl	thallium
Lu	lutetium
Th	thorium
Ti	titanium
Te	tellurium
Tb	terbium
Tc	technetium
Ta	tantalum
Yb	ytterbium
Dy	dysprosium
I	iodine
U	uranium
Y	yttrium
Ac	actinium
Ag	silver
Ir	iridium
Al	aluminium
As	arsenic
Ar	argon
Au	gold
At	astatine
In	indium
Mo	molybdenum
